origin.lat,origin.lon,origin.depth,origin.time,origin.orid,origin.evid,origin.jdate,origin.nass,origin.ndef,origin.grn,origin.srn,origin.etype,origin.review,origin.dtype,origin.ms,origin.ml,origin.mlid,origin.algorithm,origin.auth,origin.lddate,event.evid,event.prefor,event.auth,event.lddate,fplane.orid,fplane.mechid,fplane.str1,fplane.dip1,fplane.rake1,fplane.str2,fplane.dip2,fplane.rake2,fplane.taxazm,fplane.taxplg,fplane.paxazm,fplane.paxplg,fplane.algorithm,fplane.auth,fplane.lddate
69.5762,-145.2910,15.7683,1534085933.50336,639443,639454,2018224,242,242,676,42,F,y,f,6.40,6.33,672047,dbgenloc:iasp91,AK:natasha,1560528484.23948,639454,639443,AK:natasha,1560528559.15189,639443,1,188.0,86.0,-2.0,278.0,88.0,-176.0,53.0,1.0,143.0,4.0,dbfpfit,aeic,1559667822.46732
69.5227,-144.3388,16.2065,1534108500.99940,639595,639534,2018224,200,200,676,42,F,y,f,6.00,6.12,672064,dbgenloc:iasp91,AK:natasha,1560528485.95668,639534,639595,AK:natasha,1560528560.12155,639595,1,105.0,71.0,-177.0,14.0,87.0,-19.0,61.0,11.0,328.0,15.0,dbfpfit,aeic,1559668552.76904
